"Designator","Search","LCSC","MPN","Package","Lib","Stock","AssemblyFlag","Type","Desc"
"D1","5V TVS SOD-323","C9900152579","TVS","SOD-323","expand","0","False","New Arrivals","SOD-323 New Arrivals ROHS"
"D1","5V TVS SOD-323","C9900158638","TVS","SOD-323","expand","0","False","New Arrivals","SOD-323 New Arrivals ROHS"
"D1","5V TVS SOD-323","C9900158633","TVS","SOD-323","expand","0","False","New Arrivals","SOD-323 New Arrivals ROHS"
"D1","5V TVS SOD-323","C9900033334","TVS","SOD-323","expand","0","False","New Arrivals","SOD-323 New Arrivals ROHS"
"D1","CDSOD323-T05C","C711706","CDSOD323-T05C","SOD-323","expand","12373","False","ESD and Surge Protection (TVS/ESD)","-55???~+150??? 1 17A@8/20us 18.3V 2uA 350W@8/20us 3pF 5V 6V Bidirectional ESD IEC 61000-4-2???IEC 61000-4-5???IEC 61000-4-4 SOD-323 ESD and Surge Protection (TVS/ESD) ROHS"
"D1","CDSOD323-T05C","C3018474","UDD32C05L01","SOD-323","expand","12344","False","ESD and Surge Protection (TVS/ESD)","-55???~+125??? 0.6pF 18A 1uA 2 20V 360W 5V 8V Bidirectional ESD IEC 61000-4-2???IEC 61000-4-5 SOD-323 ESD and Surge Protection (TVS/ESD) ROHS"
"D1","CDSOD323-T05C","C5380656","CDSOD323-T05C","SOD-323","expand","414","False","ESD and Surge Protection (TVS/ESD)","-55???~+125??? 1pF 200nA 20V 350W@8/20us 5V 8V IEC 61000-4-4 SOD-323 ESD and Surge Protection (TVS/ESD) ROHS"
"D1","CDSOD323-T05C","C5180025","CDSOD323-T05C","SOD-323","expand","321","False","ESD and Surge Protection (TVS/ESD)","0.6pF 1 200nA 20V 350W@8/20us 5V 6V IEC 61000-4-2???IEC 61000-4-5???IEC 61000-4-4 SOD-323 ESD and Surge Protection (TVS/ESD) ROHS"
"D1","PESD5V0S1BA","C2827694","PESD5V0S1BA","SOD-323","expand","440338","False","ESD and Surge Protection (TVS/ESD)","-55???~+125??? 1 100nA 20A 300W 5V 7V 9V Bidirectional ESD IEC 61000-4-2 SOD-323 ESD and Surge Protection (TVS/ESD) ROHS"
"D1","PESD5V0S1BA","C314260","PESD5V0S1BA-N","SOD-323","expand","56257","False","ESD and Surge Protection (TVS/ESD)","17A 1uA 21V 350W@8/20us 5V 60pF 6V Bidirectional ESD IEC 61000-4-2???IEC 61000-4-5???IEC 61000-4-4 SOD-323 ESD and Surge Protection (TVS/ESD) ROHS"
"D1","PESD5V0S1BA","C587144","TPPESD5V0S1BA","SOD-323","expand","63","False","ESD and Surge Protection (TVS/ESD)","-55???~+125??? 10A@8/20us 11V???20V 150W@8/20us 21pF 500nA 5V 6V ESD IEC 61000-4-2???IEC 61000-4-4 SOD-323 ESD and Surge Protection (TVS/ESD) ROHS"
"D1","PESD5V0S1BA","C19224","PESD5V0S1BA,115","SOD-323","expand","21","False","ESD and Surge Protection (TVS/ESD)","-55???~+150??? 1 12A@8/20us 130W@8/20us 14V 35pF 5V 5nA 9.5V Bidirectional ESD IEC 61000-4-2???IEC 61000-4-5 SOD-323 ESD and Surge Protection (TVS/ESD) ROHS"
"D1","SOD-323 ESD 5V","C20884","RLSD32A051LC","SOD-323","expand","26254","False","ESD and Surge Protection (TVS/ESD)","1 1pF 1uA 20A@8/20us 300W@8/20us 5V 6V 9.8V Bidirectional ESD IEC 61000-4-2 SOD-323 ESD and Surge Protection (TVS/ESD) ROHS"
"D1","SOD-323 ESD 5V","C2982320","JED323-5V-C","SOD-323","expand","3000","False","ESD and Surge Protection (TVS/ESD)","-55???~+125??? 1 10V 200nA 5V 6V 80W 80pF 8A Bidirectional ESD IEC 61000-4-2 SOD-323 ESD and Surge Protection (TVS/ESD) ROHS"
"D1","SOD-323 ESD 5V","C2982321","JED323-5V-LC","SOD-323","expand","926","False","ESD and Surge Protection (TVS/ESD)","-55???~+125??? 1 18A 1pF 200nA 20V 360W 5V 6V Bidirectional ESD IEC 61000-4-2???IEC 61000-4-5 SOD-323 ESD and Surge Protection (TVS/ESD) ROHS"
"D1","SOD-323 ESD 5V","C19224","PESD5V0S1BA,115","SOD-323","expand","21","False","ESD and Surge Protection (TVS/ESD)","-55???~+150??? 1 12A@8/20us 130W@8/20us 14V 35pF 5V 5nA 9.5V Bidirectional ESD IEC 61000-4-2???IEC 61000-4-5 SOD-323 ESD and Surge Protection (TVS/ESD) ROHS"
"D4-D7","4 channel ESD SOT-23-6","C13612","SRV05-4.TCT","SOT-23-6L","expand","98741","False","ESD and Surge Protection (TVS/ESD)","-55???~+125??? 12A@8/20us 17.5V 300W@8/20us 3pF 5V 5uA 6V Four channels IEC 61000-4-2???IEC 61000-4-5???IEC 61000-4-4 TVS Unidirectional SOT-23-6L ESD and Surge Protection (TVS/ESD) ROHS"
"D4-D7","4 channel ESD SOT-23-6","C85364","SRV05-4-P-T7","SOT-23-6","expand","20941","False","ESD and Surge Protection (TVS/ESD)","12V 1A@8/20us 3.5pF 500W@8/20us 5V 5uA 6V ESD Four channels IEC 61000-4-2???IEC 61000-4-5???IEC 61000-4-4 SOT-23-6 ESD and Surge Protection (TVS/ESD) ROHS"
"D4-D7","4 channel ESD SOT-23-6","C384887","SRV05-4","SOT-26","expand","9761","False","ESD and Surge Protection (TVS/ESD)","0.5pF 12A 15V 1uA 350W@8/20us 5V 6V Four channels IEC 61000-4-2???IEC 61000-4-5???IEC 61000-4-4 TVS SOT-26 ESD and Surge Protection (TVS/ESD) ROHS"
"D4-D7","4 channel ESD SOT-23-6","C118757","CDSOT23-SRV05-4","SOT-23-6","expand","1538","False","ESD and Surge Protection (TVS/ESD)","-55???~+150??? 15V 3.5pF 30A@8/20us 500W@8/20us 5V 5uA 6V Four channels IEC 61000-4-2???IEC 61000-4-5???IEC 61000-4-4 TVS SOT-23-6 ESD and Surge Protection (TVS/ESD) ROHS"
"D4-D7","ESD array SOT-23-6 3.3V","C122563","PESD3V3S5UD,125","SC-74","expand","3116","False","ESD and Surge Protection (TVS/ESD)","-65???~+150???@(Ta) 12V 200W@8/20us 20A@8/20us 215pF 3.3V 5 5.6V 800nA Bidirectional ESD IEC 61000-4-2 SC-74 ESD and Surge Protection (TVS/ESD) ROHS"
"D4-D7","ESD array SOT-23-6 3.3V","C116155","ADP3330ARTZ3.3-RL7","SOT-23-6","expand","1528","False","Voltage Regulators - Linear, Low Drop Out (LDO) Regulators","-40???~+85???@(Ta) 1 12V 140mV@(200mA) 200mA 3.3V 34uA 47uVrms Fixed Over Current Protection???Over Temperature Protection???Enable Positive SOT-23-6 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS"
"D4-D7","ESD array SOT-23-6 3.3V","C14123","MP2451DT-LF-Z","SOT-23-6","expand","291","False","DC-DC Converters","-40???~+125??? 1 130uA 2MHz 3.3V~36V 600mA 800mV~28.8V Adjustable Buck Buck Built-in No SOT-23-6 DC-DC Converters ROHS"
"D4-D7","ESD array SOT-23-6 3.3V","C74381","REF3233AIDBVT","SOT-23-6","expand","3","False","Voltage Reference","-40???~+125???@(Ta) 10mA 135uA 20ppm/??? 3.35V~5.5V 3.3V 43uVp-p 63uVrms Fixed Series ??0.2% SOT-23-6 Voltage Reference ROHS"
"D4-D7","TVS array SOT-23-6","C9900021122","TVS","SOD-523_L1.2-W0.8-LS1.6-BI","expand","0","False","SMT","SOD-523_L1.2-W0.8-LS1.6-BI SMT ROHS"
"D4-D7","TVS array SOT-23-6","C9900033332","TVS","SMB","expand","0","False","New Arrivals","SMB New Arrivals ROHS"
"D4-D7","TVS array SOT-23-6","C9900033334","TVS","SOD-323","expand","0","False","New Arrivals","SOD-323 New Arrivals ROHS"
"D4-D7","TVS array SOT-23-6","C9900029746","tvs","SMA","expand","0","False","New Arrivals","SMA New Arrivals ROHS"
"F1/F4","0466002.NRHF","C3105","0466002.NRHF","1206","expand","90212","False","Disposable fuses","-55???~+90??? 0.2326 1.6mm 2A 3.2mm 50A 63V 63V Surface Mount Fuse 1206 Disposable fuses ROHS"
"F1/F4","1206 fuse 2A","C3105","0466002.NRHF","1206","expand","90212","False","Disposable fuses","-55???~+90??? 0.2326 1.6mm 2A 3.2mm 50A 63V 63V Surface Mount Fuse 1206 Disposable fuses ROHS"
"F1/F4","1206 fuse 2A","C20988","SMD1206P200TF","1206","expand","4634","False","Resettable Fuses","-40???~+85??? 1.5s 1.9mm 15m?? 1mm 2A 3.5A 3.6mm 35A 6V 800mW 80m?? 1206 Resettable Fuses ROHS"
"F1/F4","1206 fuse 2A","C2838912","1206TD-2A","1206","expand","3440","False","Disposable fuses","-55???~+150??? 0.83mm 1.6mm 2A 3.2mm 50A@72VDC 72V Surface Mount Fuse 1206 Disposable fuses ROHS"
"F1/F4","1206 fuse 2A","C70085","nSMD200","1206","expand","2228","False","Resettable Fuses","-40???~+85??? 1.5s 100A 18m?? 2A 3.5A 6V 800mW 85m?? 1206 Resettable Fuses ROHS"
"F1/F4","1206 PTC 2A","C135342","ASMD1206-200","1206","expand","44290","False","Resettable Fuses","-40???~+85??? 1.5s 1.6mm 1.9mm 100A 15m?? 2A 3.5A 3.6mm 6V 800mW 80m?? 1206 Resettable Fuses ROHS"
"F1/F4","1206 PTC 2A","C20988","SMD1206P200TF","1206","expand","4634","False","Resettable Fuses","-40???~+85??? 1.5s 1.9mm 15m?? 1mm 2A 3.5A 3.6mm 35A 6V 800mW 80m?? 1206 Resettable Fuses ROHS"
"F1/F4","1206 PTC 2A","C70085","nSMD200","1206","expand","2228","False","Resettable Fuses","-40???~+85??? 1.5s 100A 18m?? 2A 3.5A 6V 800mW 85m?? 1206 Resettable Fuses ROHS"
"F1/F4","1206 PTC 2A","C70167","SL1206200","1206","expand","127","False","Resettable Fuses","-40???~+70??? 1.2W 1.2mm 1.85mm 28m?? 2A 3.5mm 4A 4m?? 50A 6V 8s 1206 Resettable Fuses ROHS"
"F1/F4","1206 resettable fuse 2A","C135342","ASMD1206-200","1206","expand","44290","False","Resettable Fuses","-40???~+85??? 1.5s 1.6mm 1.9mm 100A 15m?? 2A 3.5A 3.6mm 6V 800mW 80m?? 1206 Resettable Fuses ROHS"
"F1/F4","1206 resettable fuse 2A","C20988","SMD1206P200TF","1206","expand","4634","False","Resettable Fuses","-40???~+85??? 1.5s 1.9mm 15m?? 1mm 2A 3.5A 3.6mm 35A 6V 800mW 80m?? 1206 Resettable Fuses ROHS"
"F1/F4","1206 resettable fuse 2A","C70085","nSMD200","1206","expand","2228","False","Resettable Fuses","-40???~+85??? 1.5s 100A 18m?? 2A 3.5A 6V 800mW 85m?? 1206 Resettable Fuses ROHS"
"F1/F4","1206 resettable fuse 2A","C70167","SL1206200","1206","expand","127","False","Resettable Fuses","-40???~+70??? 1.2W 1.2mm 1.85mm 28m?? 2A 3.5mm 4A 4m?? 50A 6V 8s 1206 Resettable Fuses ROHS"
"F2/F3","1206 fuse 1A","C20799","SMD1206P050TF","1206","expand","13784","False","Resettable Fuses","-40???~+85??? 0.8mm 1.9mm 100ms 150m?? 1A 3.6mm 35A 400mA 600mW 6V 700m?? 1206 Resettable Fuses ROHS"
"F2/F3","1206 fuse 1A","C2838907","1206TD-1A","1206","expand","5930","False","Disposable fuses","-55???~+150??? 0.11 0.6mm 1.6mm 1A 3.2mm 50A@72VDC???150A@32VDC???300A@24VDC 72V Surface Mount Fuse 1206 Disposable fuses ROHS"
"F2/F3","1206 fuse 1A","C20800","SMD1206P100TF","1206","expand","793","False","Resettable Fuses","-40???~+85??? 0.8mm 1.8A 1.9mm 1A 270m?? 3.6mm 300ms 35A 50m?? 600mW 6V 1206 Resettable Fuses ROHS"
